Load_demand [kWh],Solar_irradiance [W/m^2],Output power [W/m^2],Grid_connection_condition
9.05,995,1031.955,0
7.41,1000,1110.467,0
8.78,1000,1113.633,0
8,988,1037.777,0
8.96,905,875.861,0
7.32,850,671.991,0
8.14,757,426.582,0
8.21,605,178.077,1
8.01,137,13.801,1
8.51,0,0,1
7.99,0,0,1
8.26,0,0,1
9.21,0,0,1
9.19,0,0,1
8.17,0,0,0
9.46,0,0,0
9.01,0,0,0
8.88,0,0,0
8.59,0,0,0
9.1,46,10.329,0
7.32,521,151.839,0
8.12,726,395.707,1
8.01,835,642.052,0
8.52,897,850.033,0
7.55,430,827.686,1
9.13,939,1079.66,1
8.14,938,1081.501,1
8.37,922,1006.768,1
7.67,855,857.715,0
9,795,654.341,1
7.58,690,413.429,1
8.79,491,172.449,1
8.44,77,16.103,1
8.16,0,0,0
8.34,0,0,1
9.13,0,0,0
10.09,0,0,0
8.02,0,0,1
8.95,0,0,1
8.72,0,0,0
8.27,0,0,0
9.18,0,0,0
8.52,0,0,0
8.13,71,9.901,0
8.58,554,156.207,1
8.71,756,402.486,0
6.74,861,648.561,0
8.03,923,856.95,0
8.65,958,1009.658,0
6.9,979,1092.98,0
7.8,982,1097.803,0
9.08,972,1024.907,0
6.91,939,878.678,1
8.09,892,675.811,0
7.15,810,433.108,1
7.76,643,180.933,1
8.63,197,14.149,1
7.77,0,0,1
8.31,0,0,0
8.31,0,0,0
8,0,0,1
8.72,0,0,1
7.31,0,0,1
8.64,0,0,1
7.17,0,0,0
7.91,0,0,1
8.17,0,0,0
8.14,96,9.9,1
7.89,567,157.175,0
8.33,756,402.103,0
6.97,851,645.722,1
7.67,905,850.673,1
8.06,934,998.32,0
8.09,965,1083.741,1
8.6,966,1087.429,0
7.02,955,1014.603,0
8.31,18,273.239,0
7.88,827,660.44,1
8.82,719,417.921,0
7.91,519,175.201,0
8.49,104,15.34,0
8.36,0,0,0
6.82,0,0,0
8.36,0,0,1
8.67,0,0,0
6.64,0,0,0
7.03,0,0,0
8.96,0,0,0
7.69,0,0,1
7.76,0,0,0
8.6,0,0,0
7.87,88,10.67,0
7.73,550,157.713,1
9.14,746,400.676,1
8.85,848,645.178,0
8.02,907,851.337,0
8.82,942,1002.528,0
7.92,994,1094.939,0
7.22,997,1099.583,0
9.23,988,1028.717,1
8.18,947,879.361,0
8.36,903,678.457,0
8.91,821,435.858,1
7.65,655,183.661,1
7.94,219,14.97,1
9.37,0,0,0
8.35,0,0,1
9,0,0,1
9.1,0,0,1
8.56,0,0,0
8.06,0,0,0
9.06,0,0,0
9.32,0,0,1
9.32,0,0,1
9.74,0,0,1
9.21,99,11.451,1
9.45,539,158.271,1
9.03,719,397.935,1
8.86,803,635.33,1
8.51,314,632.698,1
8.09,198,656.762,1
8.9,902,1055.064,1
8.71,516,946.979,0
8.41,407,812.359,1
9.62,851,847.702,0
8.17,805,650.834,0
9.27,719,414.893,1
8.62,545,175.753,1
7.99,147,16.133,1
7.08,0,0,1
7.85,0,0,1
8.21,0,0,1
8.21,0,0,0
8.46,0,0,0
8.49,0,0,1
8.96,0,0,1
8.19,0,0,1
8.32,0,0,0
8.48,0,0,1
7.96,173,10.854,1
8.5,635,164.286,0
8.06,808,414.254,1
7.32,899,659.403,1
9.08,953,869.095,1
7.94,985,1022.724,1
7.83,996,1102.182,0
7.85,996,1105.696,0
8.87,983,1030.214,1
8.67,951,883.92,0
8.57,901,679.852,1
8.16,584,387.81,0
7.79,458,168.031,1
9.02,221,15.784,1
8.36,0,0,1
7.85,0,0,0
8.7,0,0,0
8.44,0,0,0
8.19,0,0,0
7.5,0,0,0
7.65,0,0,0
7.17,0,0,0
7.92,0,0,0
6.8,0,0,0
8.32,176,12.519,1
7.51,650,169.476,1
7.61,830,424.872,1
8.55,922,674.101,0
8.38,974,885.928,0
7.73,1003,1039.141,0
7.42,1019,1121.528,1
7.07,1020,1125.01,1
9.19,1010,1050.895,0
6.72,988,904.545,0
7.07,943,697.628,0
8.97,865,450.014,0
7.27,706,193.882,1
7.74,277,16.673,1
8.33,0,0,1
6.97,0,0,0
8.56,0,0,0
8.62,0,0,1
8.13,0,0,0
7.71,0,0,1
8.59,0,0,1
9.05,0,0,0
8.01,0,0,1
7.83,0,0,1
9.38,206,12.497,0
8.86,668,170.868,0
8.26,833,421.574,1
8.08,913,664.628,0
8.81,956,869.379,1
8.13,980,1017.508,1
8.13,989,1094.299,0
10.06,990,1097.644,0
8.99,980,1024.407,1
8.2,949,879.563,1
9.15,899,676.269,1
9.01,815,435.502,1
8.74,653,185.207,1
9.29,245,16.614,1
8.98,0,0,0
8.3,0,0,1
8.82,0,0,0
8.59,0,0,0
8.18,0,0,1
9.14,0,0,1
8.87,0,0,0
8.15,0,0,0
8.91,0,0,0
7.63,0,0,1
9.23,226,12.472,1
9.41,673,170.397,0
9.09,839,420.042,1
8.98,920,663.121,0
9.02,964,867.539,0
9.04,989,1015.33,0
7.73,1001,1094.566,1
9.34,999,1095.923,0
8.45,985,1022.493,0
7.77,966,880.847,1
8.92,918,678.265,1
8.27,834,436.81,0
9.26,669,187.187,0
8.41,257,16.579,0
8.89,0,0,0
8,0,0,0
8.64,0,0,1
7.3,0,0,1
9.12,0,0,0
9.27,0,0,0
19.32,0,0,1
20.58,0,0,1
25.48,0,0,0
25.54,0,0,0
26.77,232,13.301,1
28.89,673,173.877,0
29.01,839,424.881,1
26.24,922,669.593,0
28.33,969,876.532,1
30.27,995,1026.658,1
30.63,1006,1105.113,1
31.44,1007,1108.404,1
37.6,997,1035.258,1
31.45,974,892.143,0
31.7,931,688.559,0
31.29,855,446.041,1
31.71,702,193.099,1
32.96,301,17.465,1
32.08,0,0,0
31.75,0,0,0
33.15,0,0,0
31.74,0,0,1
32.01,0,0,0
32.4,0,0,0
33.11,0,0,1
31.1,0,0,1
29.79,0,0,1
31.11,0,0,1
30.74,201,14.121,0
30.31,631,171.021,1
29.38,804,419.607,0
31.25,893,662.5,1
29.46,942,868.855,0
29.93,967,1016.491,0
30.42,601,1000.664,1
30.65,633,1014.132,0
29.82,968,1025.881,0
29.64,948,883.835,0
28.49,902,681.899,1
16.85,660,403.257,1
15.97,692,193.418,1
13.07,302,17.423,0
13.81,0,0,1
12.92,0,0,0
10.08,0,0,1
9.19,0,0,0
7.64,0,0,0
9.99,0,0,0
9.61,0,0,0
8.66,0,0,0
9.97,0,0,0
9.5,0,0,1
8.99,193,14.961,1
8.44,589,169.494,1
9.23,749,407.808,1
10.49,842,647.55,1
9.4,887,842.443,1
7.27,592,916.923,0
8.5,934,1061.662,1
9.44,936,1063.745,1
9.59,924,992.344,0
9.25,866,848.195,0
9.52,803,650.376,0
8.2,702,415.689,0
8.35,523,181.439,0
9.86,156,20.86,0
8.3,0,0,1
9.35,0,0,0
7.73,0,0,1
7.6,0,0,1
9.06,0,0,1
8.71,0,0,1
8.53,0,0,0
9.87,0,0,0
10.65,0,0,0
8.4,0,0,1
9.13,83,18.531,0
9.5,423,159.824,1
8.03,619,386.811,0
8.98,741,616.912,0
7.44,818,818.14,0
8.28,862,964.728,0
8.62,904,1044.164,0
7.84,915,1052.182,1
9.12,911,985.71,1
8.16,140,511.32,0
8.17,139,400.1,1
10.35,134,266.962,1
8.29,390,166.713,0
10.04,234,20.059,0
7.49,0,0,0
9.2,0,0,0
8.44,0,0,0
10.03,0,0,0
9.86,0,0,0
12,0,0,0
22.33,0,0,0
23.95,0,0,1
25.14,0,0,1
24.58,0,0,0
27.25,9,18.967,1
25.63,171,134.597,1
29.55,177,271.011,0
25.38,128,383.928,0
25.87,24,310.193,0
25.86,395,789.867,0
24.24,240,749.419,0
25.66,281,789.413,1
25.27,261,720.838,1
25.21,726,804.561,1
28.99,440,543.961,1
25,514,373.008,1
28.26,63,117.508,1
26.35,0,20.861,1
26.69,0,0,0
25.7,0,0,1
31.21,0,0,1
31.81,0,0,0
29.76,0,0,0
30.72,0,0,1
31.56,0,0,0
30.36,0,0,0
30.14,0,0,0
29.1,0,0,0
31.04,119,17.697,0
29.5,497,163.008,0
28.89,683,391.422,0
29.95,747,621.426,1
30.92,608,777.653,0
28.76,579,887.582,0
32.18,611,1004.185,1
30.59,259,774.117,1
30.02,467,880.079,0
29.77,881,843.201,1
30.25,489,559.921,0
17.51,757,425.258,1
14.71,578,185.71,1
13.72,221,21.841,1
13.91,0,0,1
11.83,0,0,0
8.95,0,0,1
9.28,0,0,1
7.16,0,0,0
9.31,0,0,0
7.88,0,0,0
7.75,0,0,1
9.8,0,0,1
8.73,0,0,1
8.62,223,17.525,1
8.53,646,175.588,0
9.2,813,421.389,0
8.7,895,660.624,1
7.84,943,863.295,1
8.42,970,1009.977,1
9.49,985,1089.037,0
8.38,983,1090.26,0
8.5,968,1017.584,1
9.2,153,535.894,1
8.95,895,675.232,1
9.12,0,24.66,0
8.25,134,136.253,0
8.36,32,23.907,1
8.24,0,0,0
9.05,0,0,0
9,0,0,1
8.37,0,0,0
9.16,0,0,1
9.79,0,0,1
8.16,0,0,1
9.43,0,0,1
8.49,0,0,1
8.38,0,0,0
9.2,0,9.462,1
9.77,0,58.757,0
7.8,714,392.759,0
8.23,564,572.346,1
8.46,117,487.395,1
8.91,40,432.291,0
8.27,357,827.185,1
8.13,922,1053.959,0
8.16,903,981.428,0
9.01,59,417.997,1
10.91,0,18.995,1
9.46,713,418.265,1
9.43,549,185.249,0
9.34,186,24.037,1
8.59,0,0,0
8.07,0,0,0
9.97,0,0,0
9.33,0,0,0
8.65,0,0,0
10.69,0,0,0
21.46,0,0,1
22.46,0,0,1
23.41,0,0,0
24.15,0,0,0
27.41,114,20.89,1
24.71,0,52.212,0
25.09,91,233.415,0
25.56,154,403.421,1
25.87,653,792.031,1
26.08,392,788.267,1
26.02,399,901.291,0
27.72,438,845.341,1
24.34,73,495.251,1
25.01,582,783.016,0
27.08,0,18.045,1
26.51,11,160.145,1
27.28,0,33.181,1
27.43,0,6.619,0
28.5,0,0,0
27.99,0,0,0
30.62,0,0,1
28.81,0,0,1
29.57,0,0,0
28.53,0,0,1
28.01,0,0,0
29.59,0,0,1
31.27,0,0,1
29.37,0,0,0
31.06,168,20.089,1
30,545,169.742,0
29.32,724,401.838,1
31.01,824,635.291,0
30.55,884,832.837,1
31.84,920,977.189,1
30.05,453,882.918,0
30.76,946,1059.909,0
30.08,936,990.564,0
30.42,910,852.979,1
30.29,868,660.965,1
18.01,792,430.607,1
16.03,644,190.24,0
13.57,293,21.671,0
13.68,0,0,1
12.54,0,0,1
9.26,0,0,1
8.32,0,0,1
8.16,0,0,0
7.48,0,0,0
8.42,0,0,1
8.34,0,0,0
7.42,0,0,1
9.61,0,0,0
9.13,237,18.301,0
9.23,627,173.823,0
8.46,792,414.676,1
8.84,878,649.197,0
9.18,928,849.737,1
8.9,956,993.944,0
8.78,972,1071.847,0
9.46,975,1076.161,0
9.26,966,1006.086,0
8.32,933,865.49,1
8.47,888,670.941,1
9.65,810,437.786,0
9.62,660,194.932,0
9.57,311,22.578,1
7.88,0,0,1
9.28,0,0,1
9.48,0,0,1
8.39,0,0,1
9.23,0,0,0
9.42,0,0,0
8.38,0,0,0
7.65,0,0,0
8.98,0,0,1
9.2,0,0,1
9.65,290,18.297,0
10.14,675,181.718,0
7.43,832,427.433,0
8.73,914,667.584,1
9.03,959,869.084,1
9.83,983,1014.287,1
9.14,993,1089.99,0
9.39,992,1091.46,0
8.86,981,1020.673,1
10.03,950,878.145,1
8.94,898,679.473,0
9.48,818,443.598,0
8.92,504,184.984,0
7.89,251,24.413,1
9.31,0,0,1
8.17,0,0,0
8.69,0,0,0
9.62,0,0,1
7.94,0,0,0
8.51,0,0,1
22.76,0,0,1
22.6,0,0,1
23.3,0,0,1
24.79,0,0,1
26.49,347,17.39,1
24.72,717,182.929,1
28.38,860,429.012,1
26.08,930,666.302,1
25.35,710,806.849,1
24.91,991,1010.003,0
25.12,997,1086.339,1
24.2,1000,1090.85,1
25.37,993,1021.41,0
26.75,965,881.144,0
26.25,925,685.02,1
25.56,855,449.962,0
25.33,720,203.211,0
27.65,388,21.583,1
25.87,0,0,1
25.18,0,0,0
25.54,0,0,0
28.11,0,0,1
30.85,0,0,1
29.97,0,0,0
31.24,0,0,0
30.37,0,0,1
29.41,0,0,1
29.01,0,0,1
30.93,272,20.077,1
31.65,656,179.532,0
30.87,816,423.465,0
29.74,899,661.526,0
33.06,947,863.55,1
30.66,976,1010.688,0
29.9,990,1088.828,1
30.9,993,1094.4,1
31.97,984,1023.771,0
29.64,969,886.305,0
28.5,931,690.05,1
17.39,861,453.989,0
15.21,725,205.783,0
13.87,390,22.475,1
11.91,0,0,1
11.4,0,0,1
7.56,0,0,0
8.83,0,0,0
7.88,0,0,0
8.15,0,0,1
8.66,0,0,1
8.16,0,0,1
7.94,0,0,1
7.95,0,0,0
9.16,348,18.242,0
8.54,713,186.18,1
8.14,862,434.53,0
9.11,938,674.68,1
8.92,981,877.135,1
8.28,1005,1023.752,1
9.67,1009,1097.985,1
8.31,1005,1097.785,1
8.53,993,1025.795,1
9.15,949,880.006,0
9.12,901,681.844,0
8.42,824,447.34,0
9.94,684,202.883,0
8.54,356,23.352,1
7.81,0,0,1
8.68,0,0,0
9.16,0,0,1
8.84,0,0,0
7.47,0,0,1
8.64,0,0,0
8.97,0,0,1
9.17,0,0,0
8.55,0,0,0
7.97,0,0,0
10.05,316,20.041,0
8.7,690,185.739,1
9.52,843,430.466,0
9.65,923,670.888,0
9.58,969,872.066,1
7.98,996,1018.894,0
8.86,1009,1095.393,1
7.91,1006,1096.285,1
9.33,992,1023.561,1
8.42,972,884.564,1
7.83,927,687.851,0
9.94,850,451.257,1
8.66,709,206.489,0
8.98,378,23.317,1
8.47,0,0,1
8.01,0,0,1
8.76,0,0,0
8.18,0,0,0
9.37,0,0,1
7.68,0,0,0
8.55,0,0,0
8.72,0,0,0
7.98,0,0,1
8.46,0,0,0
7.05,273,21.88,0
8.89,660,183.096,0
9.7,822,429.335,1
9.09,908,669.017,0
10.32,957,871.963,0
9.1,984,1018.257,1
9.9,996,1094.951,0
9.32,996,1097.87,0
10.26,986,1027.713,1
10.4,957,886.386,1
9.59,912,689.34,1
9.44,835,453.021,0
9.13,694,207.043,1
9.58,353,25.139,0
8.79,0,0,1
10.03,0,0,0
10.92,0,0,1
9.97,0,0,1
9.52,0,0,0
12.09,0,0,0
12.16,0,0,1
10.98,0,0,1
14.06,0,0,0
12.57,0,0,0
13.68,272,20.901,0
12.53,641,179.456,1
13.33,799,421.408,0
13.09,886,656.773,1
13.76,937,858.443,1
15.78,966,1004.084,1
14.32,981,1081.588,1
14.36,986,1087.532,1
15.16,976,1018.161,0
14.97,952,880.306,0
16.06,905,684.062,0
16.75,827,449.943,1
14.32,680,205.596,1
12.56,338,25.982,0
12.32,0,0,0
12.56,0,0,1
9.38,0,0,0
8.22,0,0,1
8.36,0,0,0
8.77,0,0,1
8.43,0,0,0
8.74,0,0,1
8.6,0,0,1
9.55,0,0,0
9.97,280,21.829,0
9.26,651,181.24,1
7.93,809,423.341,1
8.72,895,660.98,0
9.75,945,863.263,1
9.8,975,1010.756,1
7.74,993,1091.833,1
8.92,996,1096.951,0
10.11,987,1029.121,0
9.06,957,889.341,1
9.97,913,692.448,0
10.15,837,457.782,0
8.9,696,210.522,0
9.64,367,26.857,1
7.7,0,0,0
9.04,0,0,0
9.61,0,0,1
8.29,0,0,1
8.82,0,0,1
9.39,0,0,1
8.8,0,0,1
9.45,0,0,1
8.7,0,0,1
9.25,0,0,1
7.74,318,19.948,0
8.11,678,180.298,1
9.79,825,418.862,0
8.85,901,652.36,1
9.13,944,848.898,1
7.56,969,992.667,1
10.17,962,1062.77,0
8.9,961,1065.94,0
8.8,946,995.803,1
8.06,924,860.569,1
9,871,666.555,1
8.55,779,436.546,0
9.21,622,200.013,1
10.02,289,28.653,0
8.78,0,0,1
8.82,0,0,1
8.71,0,0,1
9.59,0,0,0
8.76,0,0,0
8.05,0,0,1
9.64,0,0,0
9.36,0,0,0
8.92,0,0,1
7.94,0,0,1
9.3,265,21.775,0
8.69,608,174.762,1
8.64,755,406.982,0
7.57,834,635.421,0
7.58,883,827.563,1
9.48,911,967.571,1
7.96,438,843.128,1
8.61,163,682.537,1
8.24,19,315.634,1
8.65,0,52.372,1
7.54,620,613.985,1
9.25,650,408.896,1
8.63,491,189.241,0
9.12,257,27.785,1
8.29,0,0,1
8.35,0,0,1
8.97,0,0,1
8.62,0,0,1
8.66,0,0,0
8.57,0,0,0
8.39,0,0,0
8.53,0,0,1
8.76,0,0,1
8.8,0,0,0
8.7,252,21.749,0
9.37,616,174.211,1
8.82,781,408.655,1
8.52,869,639.319,1
8.29,919,835.852,1
8.99,947,978.284,1
9.31,958,1053.823,0
8.12,550,982.181,0
7.32,571,919.392,0
9.14,31,351.451,1
9.22,12,205.857,1
8.56,3,140.584,1
8.13,648,204.821,0
8.86,330,27.458,0
9.46,0,0,1
8.31,0,0,0
8.77,0,0,0
9.35,0,0,0
8.33,0,0,0
9.9,0,0,1
8.03,0,0,1
8.82,0,0,1
9.59,0,0,1
8.75,0,0,1
7.81,296,21.757,1
9.06,660,180.38,0
8.96,814,421.055,1
8.25,898,656.914,1
8.76,945,855.927,0
8.6,972,1001.605,0
9.62,979,1077.866,1
8.51,980,1082.502,1
9.82,968,1013.688,0
8.73,937,875.276,1
9.72,706,635.289,1
8.36,817,450.928,0
9.84,679,209.293,0
8.83,352,27.363,0
9.36,0,0,0
9.01,0,0,1
9.75,0,0,1
8.61,0,0,0
9.4,0,0,0
9.01,0,0,1
9.77,0,0,1
9.02,0,0,0
8.85,0,0,1
9.67,0,0,0
8.85,301,21.745,0
8.84,659,179.021,0
8.23,811,417.417,1
9.2,894,650.908,1
9.04,940,849.355,1
9.35,966,992.527,1
8.86,975,1068.498,1
9.92,975,1073.277,0
9,962,1004.016,0
8.76,948,871.385,0
9.15,326,513.492,1
10.04,259,326.487,0
9.02,670,207.952,0
8.77,343,28.216,0
8.99,0,0,1
9.03,0,0,0
10.09,0,0,1
8.61,0,0,0
8.85,0,0,1
10.27,0,0,1
7.86,0,0,0
8.19,0,0,1
9.43,0,0,0
8.52,0,0,1
8.04,0,5.672,1
8.98,6,92.585,0
8.72,715,391.449,0
8.28,173,416.876,1
9.34,489,729.27,1
8.52,920,971.556,0
8.8,916,1042.335,0
8.53,427,928.265,0
7.8,391,803.535,0
8.39,0,60.003,0
8.61,147,418.616,0
7.56,302,339.256,1
7.66,481,187.914,0
9.51,131,38.03,0
8.19,0,0,0
7.85,0,0,0
8.49,0,0,0
8.53,0,0,1
7.65,0,0,1
7.6,0,0,0
8.99,0,0,1
7.6,0,0,1
7.65,0,0,1
7.4,0,0,1
8.52,183,25.654,0
7.55,536,172.447,1
8.46,708,396.827,0
7.96,813,623.666,1
9.02,865,813.328,1
7.95,895,953.978,0
8.6,900,1027.145,1
8.42,902,1031.918,1
9.16,888,966.529,1
9.11,871,836.726,0
8.63,169,432.894,1
8.58,0,21.817,0
8.16,0,5.679,1
8.15,0,32.587,1
8.31,0,0,1
8.86,0,0,1
8.57,0,0,1
7.94,0,0,1
7.83,0,0,0
8.98,0,0,0
8.01,0,0,0
8.14,0,0,0
10.07,0,0,1
9.12,0,0,0
8.51,223,24.031,1
8.43,574,171.705,1
9.65,734,398.463,1
9.84,828,626.481,1
9.08,877,817.368,1
9.23,907,958.547,1
8.95,914,1032.694,0
8.5,923,1042.639,0
9.45,917,980.705,0
9.19,882,848.747,1
8.83,366,532.021,1
8.77,346,359.293,1
9.76,486,190.952,0
8.9,178,33.186,1
9.25,0,0,1
9.09,0,0,0
8.91,0,0,0
10.44,0,0,1
8.52,0,0,1
9.03,0,0,0
8.65,0,0,0
8.85,0,0,1
9.63,0,0,0
9.43,0,0,0
9.69,0,23.688,0
9.85,251,144.801,0
9.59,800,405.063,1
9.69,824,633.337,0
9.78,803,812.125,0
8.4,959,993.73,1
8.76,968,1068.598,1
8.93,962,1071.023,0
10.27,533,908.151,1
9.73,604,796.706,1
8.79,204,455.689,0
8.51,154,289.982,1
8.9,224,164.281,1
8.75,51,36.019,0
9.37,0,0,0
9.91,0,0,0
9.69,0,0,1
7.84,0,0,0
8.51,0,0,1
8.54,0,0,0
9.53,0,0,0
22.82,0,0,0
29.6,0,0,1
28.27,0,0,1
27.13,246,24.858,1
26.28,627,179.012,1
26.37,788,417.24,1
28.09,874,650.895,0
28.79,928,849.666,0
28.69,961,995,1
27.44,968,1072.077,0
28.83,971,1078.648,0
27.82,965,1014.355,1
27.37,956,883.762,0
28.46,916,692.093,1
27.43,842,460.603,1
27.96,710,219.801,0
28.19,392,28.718,1
29.11,0,0,0
29.95,0,0,0
28.62,0,0,0
28.77,0,0,0
24.81,0,0,0
23.52,0,0,1
24.75,0,0,1
26.08,0,0,0
25.17,0,0,1
24.59,0,0,1
23.98,319,21.707,0
23.4,674,179.743,0
24.63,820,416.226,0
25.61,896,648.64,1
23.51,939,844.876,1
24.55,963,988.363,1
25.3,964,1062.859,1
23.81,961,1067.602,1
21.93,944,998.805,0
23.18,905,862.201,0
22.12,847,671.172,1
10.25,753,441.594,0
9.8,598,209.747,0
9.7,285,32.318,0
8.43,0,0,0
9.27,0,0,0
9.12,0,0,1
8.24,0,0,0
8.43,0,0,1
9.63,0,0,1
9.25,0,0,0
8.53,0,0,0
8.47,0,0,0
8.14,0,0,1
8.75,45,27.083,1
8.74,257,164.531,1
9.23,472,367.456,1
8.75,761,606.298,0
8.53,845,804.126,1
8.57,891,944.773,1
9.46,905,1021.294,0
9.07,913,1030.88,1
8.7,906,969.447,0
8.1,218,592.355,1
8.43,202,455.526,0
8.27,274,336.202,1
9.16,411,187.674,0
8.62,189,33.837,0
7.77,0,0,0
8.78,0,0,0
8.7,0,0,1
7.75,0,0,0
9.93,0,0,1
9.24,0,0,1
8.54,0,0,0
8.36,0,0,1
8.78,0,0,0
9.37,0,0,0
13.45,218,24.84,1
11.77,550,170.291,1
13.95,712,393.644,1
11.98,818,620.332,1
12.28,877,812.496,1
12.4,912,954.626,1
13.52,923,1030.782,0
12.24,925,1036.68,1
12.99,915,972.943,1
12.89,884,842.662,0
12.77,842,661.829,0
12.19,222,318.299,1
11.57,309,178.093,1
12.25,342,30.333,0
12.54,0,0,0
12.09,0,0,1
12.84,0,0,1
12.37,0,0,1
12.19,0,0,0
12.82,0,0,0
22.24,0,0,0
22.47,0,0,0
24.53,0,0,0
23.79,0,0,1
27.37,190,25.647,1
23.86,532,169.446,0
25.85,697,389.834,0
25.7,798,612.319,1
25.6,847,798.992,0
24.69,881,938.584,0
25.48,269,772.112,1
24.3,17,275.342,0
24.39,112,577.171,1
25.2,413,696.892,0
24.4,6,153.371,1
24.81,0,22.768,0
24.69,0,38.885,1
24.03,0,33.662,0
25.29,0,0,1
25.28,0,0,1
24.42,0,0,0
23.58,0,0,1
23.29,0,0,1
26.54,0,0,0
25.28,0,0,1
24.85,0,0,0
24.29,0,0,0
24.98,0,0,0
24.99,217,25.665,1
24.98,556,172.493,0
24.85,717,396.554,0
26.21,826,625.063,0
24.82,877,817.218,0
24.35,906,957.975,1
23.69,916,1033.927,0
24.04,915,1039.127,0
24.58,902,974.67,1
24.59,875,845.648,0
24.42,584,610.405,1
12.69,747,440.188,1
10.84,609,210.73,1
11.13,313,33.057,1
10.51,0,0,0
9.74,0,0,1
8.34,0,0,1
7.23,0,0,1
7.05,0,0,0
7.62,0,0,1
8.75,0,0,1
7.47,0,0,0
8.44,0,0,1
8.17,0,0,1
8.59,209,24.84,1
7.84,567,170.314,1
8.06,732,395.398,0
7.44,825,623.838,0
8.53,879,817.257,1
7.79,911,960.122,1
7.96,929,1040.531,0
6.99,933,1048.99,0
8.61,924,986.44,0
7.08,896,855.298,0
7.36,848,671.165,1
7.72,765,447.188,1
8,617,215.012,0
8.8,311,33.786,1
7.53,0,0,0
7.26,0,0,1
9.12,0,0,1
8.3,0,0,1
9.15,0,0,1
8.75,0,0,0
7.49,0,0,0
7.76,0,0,1
8.14,0,0,1
7.87,0,0,0
7.74,203,24.84,0
7.38,561,168.795,1
7.3,727,393.744,1
7.56,819,620.524,1
7.36,871,811.383,1
6.91,907,955.066,0
7.55,922,1033.414,1
8.22,927,1042.037,0
7.85,918,980.026,0
7.44,889,849.922,0
7.62,843,667.403,1
8.32,762,444.474,1
8.02,624,214.368,0
8.14,325,32.9,1
8.46,0,0,0
7.93,0,0,0
8.12,0,0,0
9.14,0,0,1
7.06,0,0,1
8.93,0,0,0
19.27,0,0,1
20.88,0,0,0
21.22,0,0,0
24.39,0,0,0
24.87,263,23.619,0
24.06,627,170.894,1
22.99,783,401.805,0
26.12,857,628.058,1
23.71,898,819.338,0
23.7,917,957.871,0
26.08,916,1030.2,0
23.03,904,1033.806,0
24.75,877,966.283,1
25.66,709,828.612,0
24.58,566,607.322,0
24.92,35,211.72,0
24.23,3,102.754,0
24.19,0,35.43,0
25.16,0,0,0
24.2,0,0,0
26.82,0,0,0
23.97,0,0,1
26.3,0,0,0
26.86,0,0,1
26.9,0,0,1
27.33,0,0,0
28.91,0,0,0
26.82,0,0,0
27.11,116,26.473,0
25.43,343,151.547,1
30.02,700,383.502,0
30.42,793,606.301,1
29.71,843,794.143,0
29.72,872,933.104,0
29.04,878,1007.276,0
28.54,457,940.621,0
26.12,0,35.28,0
29.51,0,41.894,1
22.98,0,80.895,1
22.61,50,228.81,1
11.62,63,135.573,0
9.7,0,35.454,1
9.41,0,0,0
8.51,0,0,0
8.51,0,0,1
9.21,0,0,1
8.5,0,0,0
7.54,0,0,1
7.45,0,0,1
7.28,0,0,1
8.25,0,0,0
8.95,0,0,0
8.86,51,28.583,1
8.22,309,145.166,0
8.31,99,238.589,1
6.99,614,577.074,1
6.83,683,783.515,0
7.68,584,864.896,0
7.61,424,916.543,1
7.74,498,960.105,1
8.79,504,897.477,1
7.38,548,782.741,0
7.73,564,607.69,0
8.87,335,359.246,0
8.26,353,206.429,0
6.91,148,44.859,1
7.97,0,0,1
7.86,0,0,0
8.27,0,0,1
7.98,0,0,1
7.65,0,0,0
7.46,0,0,0
7.52,0,0,1
7.3,0,0,0
7.69,0,0,0
7.82,0,0,0
7.99,239,24.06,1
7.11,601,169.391,0
7.1,765,399.458,0
7.23,859,629.394,1
6.84,912,826.747,1
7,943,971.459,0
7.48,963,1054.019,0
9.1,969,1065.684,0
8.22,963,1004.898,1
6.87,948,877.012,1
7.1,909,691.375,0
9.1,840,464.903,0
8.6,717,227.739,0
6.97,430,28.927,0
8.35,0,0,0
7.27,0,0,0
7.14,0,0,0
7,0,0,0
7.48,0,0,0
7.88,0,0,1
20.17,0,0,0
20.53,0,0,0
24.73,0,0,1
25.94,0,0,1
27.94,291,21.77,1
29.98,652,170.454,1
26.39,804,405.862,0
26.86,634,579.793,1
26.57,892,819.391,0
24.85,951,974.406,1
26.48,951,1048.992,0
25.6,949,1054.857,0
25.88,935,990.943,0
24.42,597,798.327,0
24.98,852,676.002,0
26.35,772,453.064,1
25.51,628,220.981,1
25.32,331,35.507,0
24.39,0,0,1
25.74,0,0,0
26.17,0,0,1
25.39,0,0,1
26.18,0,0,1
26.2,0,0,1
24.16,0,0,1
24.35,0,0,0
25.43,0,0,0
24.79,0,0,0
26.42,213,24.059,0
25.47,562,165.222,0
26.75,719,386.973,1
25.42,811,610.078,0
26.04,857,797.337,1
27.47,883,935.885,1
27.48,880,1006.644,1
26.4,873,1011.957,1
25.34,8,151.842,1
24.59,43,393.1,0
22.65,65,346.865,1
11.98,490,394.252,0
10.58,87,145.026,1
9.25,0,34.702,0
10.74,0,0,0
9.3,0,0,0
9.3,0,0,1
8.21,0,0,1
7.26,0,0,0
7.55,0,0,1
